@RELATION characters
@ATTRIBUTE name  STRING
@ATTRIBUTE culture  {"ironborn" , "northmen" , "freefolk" , "braavosi" , "valyrian" , "ghiscari" , "dothraki" , "dornish" , "westeros" , "mountainclans" , "tyroshi" , "qaren" , "ironmen"}
@ATTRIBUTE allegiance  STRING
@ATTRIBUTE born  NUMERIC
@ATTRIBUTE title  {"Iron King" , "King in the North" , "Hand of the King" , "King" , "Princess" , "Prince" , "Lord Commander" , "Queen" , "Lady" , "Knight" , "Commander" , "Captain" , "Grand Maester" , "Archmaester" , "Maester" , "Master" , "Admiral" , "Lord" , "Sword" , "Steward" , "Cupbearer" , "Septa" , "Septon" , "Wisdom" , "Shield" , "Khal" , "Bloodrider" , "Castellan" , "Ser"}
@ATTRIBUTE isAlive {'dead','alive'}
@DATA
"Alesander Torrent",?,?,?,?,"alive"
"Alester Florent",?,"Florent",?,"Hand of the King","dead"
"Alester Norcross",?,"Norcross",790,?,"alive"
"Alester Oakheart",?,"Oakheart",?,?,"dead"
"Alfyn",?,?,?,?,"alive"
"Alia",?,?,?,?,"alive"
"Alicent Hightower",?,"Hightower",587,"Queen","dead"
"All-for-Joffrey",?,?,?,?,"dead"
"Alla Tyrell",?,"Tyrell",786,?,"alive"
"Allaquo","braavosi",?,?,?,"alive"
"Allar Deem",?,?,?,?,"dead"
"Allard Seaworth",?,"Seaworth",?,?,"dead"
"Alliser Thorne",?,?,747,"Ser","alive"
"Allyria Dayne",?,"Dayne",?,?,"alive"
"Alvyn Sharp","ironborn","Sharp",?,?,"alive"
"Alyce",?,?,?,?,"alive"
"Alyce Graceford",?,"Graceford",?,"Lady","alive"
"Alyn",?,"Stark",?,?,"dead"
"Alyn Ambrose",?,"Ambrose",?,?,"alive"
"Alyn Cockshaw",?,"Cockshaw",?,"Lord","alive"
"Alyn Connington",?,"Connington",?,"King","alive"
"Alyn Estermont",?,"Estermont",?,"Ser","alive"
"Alyn Frey",?,"Frey",795,?,"alive"
"Alyn Haigh",?,"Haigh",756,?,"alive"
"Alyn Hunt",?,"Hunt",?,"Ser","alive"
"Alyn Stackspear",?,"Stackspear",?,"Ser","alive"
"Alyn Velaryon",?,"Velaryon",615,"Admiral","alive"
"Alys Arryn",?,"Arryn",?,?,"alive"
"Alys Frey",?,"Frey",?,?,"alive"
"Alys Karstark","northmen","Karstark",784,?,"alive"
"Alysane Mormont","northmen","Mormont",776,?,"alive"
"Alysanne Bracken",?,"Bracken",?,?,"alive"
"Alysanne Bulwer",?,"Bulwer",791,"Lady","alive"
"Alysanne Hightower",?,"Hightower",?,?,"alive"
"Alysanne Lefford",?,"Lefford",?,"Lady","alive"
"Alysanne Osgrey",?,"Osgrey",688,?,"dead"
"Alysanne Targaryen",?,?,536,"Queen","dead"
"Alysanne of Tarth",?,"Tarth",?,?,"alive"
"Alyssa Arryn",?,"Arryn",?,?,"alive"
"Alyssa Blackwood",?,"Blackwood",753,"Lady","dead"
"Alyx Frey",?,"Frey",782,?,"alive"
"Amabel",?,"Whent",?,?,"alive"
"Amarei Crakehall",?,"Crakehall",745,?,"dead"
"Ambrode",?,?,?,?,"alive"
"Ambrose Butterwell",?,"Butterwell",660,"Hand of the King","alive"
"Amerei Frey",?,"Frey",782,"Lady","alive"
"Amory Lorch",?,"Lorch",?,"Castellan","dead"
"Andals",?,?,?,?,"alive"
"Andar Royce",?,"Royce",?,"Ser","alive"
"Anders Yronwood",?,"Yronwood",?,"Lord","alive"
"Andrew Estermont",?,"Estermont",?,"Ser","alive"
"Andrey Charlton",?,"Charlton",?,"Ser","dead"
"Andrey Dalt","dornish","Dalt",?,"Ser","alive"
"Andrik","ironborn","Drumm",?,"Lord","alive"
"Andros Brax",?,"Brax",?,"Lord","dead"
"Androw Ashford",?,"Ashford",?,"Ser","alive"
"Androw Frey",?,"Frey",795,?,"alive"
"Anguy",?,?,?,?,"alive"
"Annara Farring",?,"Farring",?,"Lady","alive"
"Antario Jast",?,"Jast",?,"Lord","alive"
"Anvil Ryn",?,?,?,?,"dead"
"Anya Waynwood",?,"Waynwood",?,"Lady","alive"
"Arbor",?,?,?,?,"alive"
"Archibald Yronwood",?,"Yronwood",?,"Ser","alive"
"Ardrian Celtigar",?,"Celtigar",729,"Lord","alive"
"Areo Hotah",?,"Martell",757,"Captain","alive"
"Argilac",?,?,?,?,"alive"
"Argrave the Defiant",?,"Butterwell",?,"Ser","alive"
"Arianne Martell","dornish","Martell",776,"Princess","alive"
"Arianne of Tarth",?,"Tarth",?,?,"alive"
"Arlan of Pennytree",?,?,649,"Ser","dead"
"Armen",?,?,?,?,"alive"
"Armond Caswell",?,"Caswell",?,"Lord","alive"
"Arneld",?,?,?,"Ser","alive"
"Arnell",?,?,?,"Ser","alive"
"Arnolf Karstark","northmen","Karstark",?,"Castellan","alive"
"Aron Santagar","dornish","Santagar",?,"Master","dead"
"Arrec",?,?,?,?,"alive"
"Arron",?,?,?,?,"alive"
"Arron Qorgyle",?,"Qorgyle",?,"Ser","alive"
"Arryk",?,?,?,?,"alive"
"Arryk (Guard)",?,"Tyrell",?,?,"alive"
"Arson","freefolk",?,?,?,"alive"
"Arthor Karstark","northmen","Karstark",?,?,"alive"
"Arthur Ambrose",?,"Ambrose",?,"Lord","alive"
"Arthur Dayne",?,"Dayne",?,"Sword","dead"
"Artos Stark","northmen","Stark",?,?,"alive"
"Artys Arryn",?,?,?,"King","alive"
"Arwood Frey",?,"Frey",763,"Ser","alive"
"Arwyn Frey",?,"Frey",785,?,"alive"
"Arwyn Oakheart",?,"Oakheart",?,"Lady","alive"
"Arya Stark","northmen","Stark",789,"Princess","alive"
"Arys Oakheart",?,"Oakheart",?,"Ser","dead"
"Asha Greyjoy","ironborn","Greyjoy",775,"Captain","alive"
"Ashara Dayne","westeros","Dayne",?,?,"dead"
"Ashford Tourney",?,?,?,?,"alive"
"Assadora of Ibben",?,?,?,?,"alive"
"Aubrey Ambrose",?,"Ambrose",?,"Ser","alive"
"Aurane Waters",?,"Velaryon",777,"Master","alive"
"Axell Florent",?,"Florent",?,"Queen","alive"
"Ayrmidon","valyrian",?,?,?,"alive"
"Azor Ahai",?,?,?,?,"alive"
"Azzak","ghiscari",?,?,"Cupbearer","alive"
"Bael","freefolk",?,?,"King","alive"
"Baela Targaryen","valyrian","Targaryen",616,"Lady","alive"
"Baelon Targaryen (son of Aerys)","valyrian","Targaryen",?,?,"alive"
"Baelon Targaryen (son of Viserys I)","valyrian","Targaryen",605,"Prince","dead"
"Baelor Blacktyde",?,"Blacktyde",?,"Captain","dead"
"Baelor Hightower",?,"Hightower",?,"Ser","alive"
"Baelor I Targaryen",?,?,643,"King","dead"
"Baelor Targaryen (son of Daeron II)",?,"Targaryen",670,"Hand of the King","dead"
"Ballabar",?,?,?,"Maester","alive"
"Balman Byrch",?,"Byrch",?,"Ser","dead"
"Balon Botley","ironborn","Botley",?,?,"alive"
"Balon Greyjoy",?,?,?,"Iron King","dead"
"Balon Swann",?,"Swann",?,"Ser","alive"
"Bandy","northmen","Stark",?,?,"alive"
"Bannen",?,?,?,?,"dead"
"Barba Bracken",?,"Bracken",655,?,"alive"
"Barbara Bracken",?,"Bracken",?,?,"alive"
"Barbrey Dustin","northmen","Ryswell",?,"Lady","alive"
"Barra",?,?,798,?,"dead"
"Barre",?,?,?,"Septon","alive"
"Barristan Selmy","westeros","Selmy",737,"Lord Commander","alive"
"Barsena Blackhair",?,?,?,?,"alive"
"Barth",?,?,?,"Hand of the King","alive"
"Barth (brewer)",?,"Stark",?,?,"alive"
"Barthogan Stark",?,"Stark",?,"Lord","alive"
"Bass",?,?,?,?,"alive"
"Bastard's Boys",?,?,?,?,"alive"
"Bayard Norcross",?,"Norcross",?,"Ser","alive"
"Bear Island",?,?,?,?,"alive"
"Bearded Ben",?,?,?,?,"alive"
"Beardless Dick",?,?,?,?,"alive"
"Becca",?,"Arryn",?,?,"alive"
"Becca the Baker",?,?,?,?,"dead"
"Beck",?,?,799,?,"dead"
"Bedwyck",?,?,?,?,"alive"
"Belandra",?,"Martell",?,?,"alive"
"Belaquo Bonebreaker",?,?,?,?,"alive"
"Beldecar",?,?,?,?,"alive"
"Belgrave",?,?,?,"Lord","alive"
"Belis",?,?,?,"Wisdom","dead"
"Bella",?,?,783,?,"alive"
"Bellegere Otherys","braavosi",?,?,?,"alive"
"Bellegere Otherys (Courtesan)",?,?,?,?,"alive"
"Bellena Hawick",?,"Hawick",?,?,"alive"
"Bellonara Otherys","braavosi",?,?,?,"alive"
"Belwas",?,"Targaryen",?,?,"alive"
"Ben",?,?,793,?,"alive"
"Ben (Big Belly)",?,?,?,?,"alive"
"Ben Blackthumb",?,"Whent",?,?,"alive"
"Ben Bones",?,"Bolton",?,?,"alive"
"Ben Bushy",?,"Bushy",?,"Ser","dead"
"Ben Plumm",?,?,?,"Commander","alive"
"Benedar Belmore",?,"Belmore",?,"Lord","alive"
"Benedict",?,?,?,"Archmaester","alive"
"Benedict Broom",?,"Broom",?,"Master","alive"
"Benfred Tallhart","northmen","Tallhart",781,?,"dead"
"Benfrey Frey",?,"Frey",771,"Ser","dead"
"Benjen Stark","northmen",?,767,?,"alive"
"Benjen Stark (Bitter)",?,"Stark",?,"King in the North","alive"
"Benjen Stark (Sweet)","northmen","Stark",?,"King in the North","alive"
"Bennard Brune",?,"Brune",?,"Knight","alive"
"Bennarion Botley","ironborn","Botley",?,?,"alive"
"Bennet",?,?,?,"Septon","alive"
"Bennis",?,"Osgrey",?,"Ser","alive"
"Beqqo","braavosi",?,?,?,"alive"
"Beren Tallhart","northmen","Tallhart",789,?,"alive"
"Berena Hornwood","northmen","Hornwood",?,?,"alive"
"Beric Dondarrion",?,"Dondarrion",776,"Lord","dead"
"Beron Blacktyde",?,"Blacktyde",?,?,"alive"
"Beron Stark","northmen","Stark",?,"Lord","alive"
"Bertram Beesbury",?,"Beesbury",?,"Ser","alive"
"Bess Bracken",?,"Bracken",?,?,"alive"
"Bessa",?,?,?,?,"dead"
"Bessa (Winterfell)",?,?,?,?,"alive"
"Beth Cassel","northmen","Cassel",?,?,"alive"
"Bethany (Blushing Bethany)","braavosi",?,?,?,"alive"
"Bethany Bolton","northmen","Bolton",?,"Lady","alive"
"Bethany Bracken",?,"Bracken",656,?,"dead"
"Bethany Fair-Fingers",?,?,?,?,"alive"
"Bethany Redwyne",?,"Redwyne",?,?,"alive"
"Bethany Rosby",?,"Rosby",765,"Lady","dead"
"Betharios of Braavos",?,"Frey",?,?,"alive"
"Bhakaz zo Loraq","ghiscari",?,?,"Cupbearer","alive"
"Bharbo","dothraki",?,?,"Khal","alive"
"Big Boil","freefolk",?,?,?,"alive"
"Biter",?,?,?,?,"dead"
"Bitterbridge",?,?,?,?,"alive"
"Black Bernarr",?,?,?,?,"alive"
"Black Jack Bulwer",?,?,?,?,"alive"
"Blackfyre Rebellion",?,?,?,?,"alive"
"Blackhaven",?,?,?,?,"alive"
"Blane",?,?,?,?,"alive"
"Bloodbeard",?,?,?,?,"alive"
"Bloodrider",?,?,?,?,"alive"
"Bloody Gate",?,?,?,?,"alive"
"Bluetooth","ironborn","Greyjoy",?,?,"alive"
"Bodger","freefolk",?,?,?,"alive"
"Bonifer Hasty",?,"Hasty",?,"Castellan","alive"
"Borcas",?,?,?,?,"alive"
"Boremund Harlaw","ironborn","Harlaw",?,"Master","alive"
"Boros Blount",?,"Blount",?,"Ser","alive"
"Borroq","freefolk",?,?,?,"alive"
"Bors",?,"Martell",?,?,"alive"
"Bowen Marsh",?,?,?,"Lord","alive"
"Boy",?,?,784,?,"alive"
"Braavos",?,?,?,?,"alive"
"Bradamar Frey",?,"Frey",789,?,"alive"
"Bran Stark","northmen","Stark",790,"Prince","alive"
"Bran the Builder",?,"Stark",?,"King","alive"
"Brandon Norrey","mountainclans","Norrey",?,"Lord","alive"
"Brandon Stark","northmen","Stark",762,?,"dead"
"Brandon Stark (Bad)","northmen","Stark",?,"King in the North","alive"
"Brandon Stark (Burner)","northmen","Stark",?,"King in the North","alive"
"Brandon Stark (Shipwright)","northmen","Stark",?,"King in the North","alive"
"Brandon Stark (son of Cregan)","northmen","Stark",?,"Lord","alive"
"Brandon Stark (the daughterless)",?,"Stark",?,"Lord","alive"
"Brandon Tallhart","northmen","Tallhart",784,?,"alive"
"Branston Cuy",?,"Cuy",?,"Lord","alive"
"Brea","braavosi",?,?,?,"alive"
"Brella",?,"Baratheon",?,?,"alive"
"Brenett",?,"Frey",?,"Maester","alive"
"Briar","freefolk",?,?,?,"alive"
"Brienne of Tarth",?,"Tarth",780,?,"alive"
"Brogg","freefolk",?,?,?,"alive"
"Bronn",?,"Stokeworth",764,"Lord","alive"
"Brotherhood without banners",?,?,?,?,"alive"
"Brown Bernarr",?,?,?,?,"dead"
"Brusco","braavosi",?,?,?,"alive"
"Bryan Fossoway",?,"Fossoway",?,"Ser","dead"
"Bryan Frey",?,"Frey",781,?,"alive"
"Bryan of Oldtown",?,?,?,?,"alive"
"Bryce Caron",?,"Caron",?,"Lord","dead"
"Bryen",?,"Baelish",720,?,"alive"
"Bryen Caron",?,"Caron",?,"Lord","dead"
"Bryen Farring",?,"Farring",?,?,"dead"
"Brynden Rivers",?,"Targaryen",675,"Hand of the King","dead"
"Brynden Tully",?,"Tully",742,"Knight","alive"
"Buford Bulwer",?,"Bulwer",?,"Ser","alive"
"Bump","freefolk",?,?,?,"alive"
"Burton Crakehall",?,"Crakehall",?,"Ser","dead"
"Butterbumps",?,"Tyrell",?,?,"alive"
"Buu",?,?,?,?,"alive"
"Byam Flint",?,?,?,"Ser","dead"
"Byan Votyris",?,?,?,?,"alive"
"Byren Flowers",?,?,?,?,"alive"
"Byron",?,"Baelish",?,"Ser","alive"
"Cadwyl","ironborn","Greyjoy",?,?,"alive"
"Cadwyn",?,"Lannister",?,"Ser","alive"
"Caleotte",?,"Martell",?,"Maester","alive"
"Calon","northmen","Stark",?,?,"alive"
"Camarron of the Count",?,?,?,?,"alive"
"Canker Jeyne","braavosi",?,?,?,"alive"
"Carellen Smallwood",?,"Smallwood",?,?,"alive"
"Carolei Waynwood",?,"Waynwood",?,?,"alive"
"Carrot",?,"Royce",?,?,"alive"
"Cass",?,?,?,?,"alive"
"Cassana Estermont",?,"Estermont",?,?,"dead"
"Cassella Vaith","dornish","Vaith",?,"Lady","alive"
"Casterly Rock",?,?,?,?,"alive"
"Castle Black",?,?,?,?,"alive"
"Castos",?,?,?,"Archmaester","alive"
"Catelyn Bracken",?,"Bracken",?,?,"alive"
"Catelyn Tully",?,"Stark",764,"Lady","dead"
"Cayn","northmen","Stark",?,?,"dead"
"Cedra",?,"Martell",?,?,"alive"
"Cedric Payne",?,"Payne",?,"Ser","dead"
"Cedrik Storm",?,"Buckler",?,?,"alive"
"Cellador",?,?,?,"Septon","alive"
"Cerenna Lannister",?,"Lannister",?,?,"alive"
"Cerrick","ironborn",?,?,"Maester","alive"
"Cersei Frey",?,"Frey",792,?,"alive"
"Cersei Lannister",?,"Lannister",766,"Queen","alive"
"Cetheres",?,?,?,"Archmaester","alive"
"Chataya",?,?,?,?,"alive"
"Chayle",?,?,?,"Septon","dead"
"Chella","mountainclans",?,?,?,"alive"
"Chett",?,?,?,?,"dead"
"Cheyk",?,?,?,?,"alive"
"Chiggen",?,?,?,?,"dead"
"Chiswyck",?,"Clegane",?,?,"dead"
"Citadel",?,?,?,?,"alive"
"Clarence Charlton",?,"Charlton",?,"Ser","alive"
"Clarence Crabb",?,"Crabb",?,"Ser","alive"
"Clarence Crabb (Short)",?,"Crabb",?,"Ser","alive"
"Clarent Crakehall",?,"Crakehall",?,"Ser","dead"
"Clayton Suggs",?,"Baratheon",?,"Ser","alive"
"Clement",?,?,751,?,"alive"
"Clement Crabb",?,"Crabb",?,"Ser","alive"
"Clement Piper",?,"Piper",?,"Lord","alive"
"Cleon",?,?,?,"King","dead"
"Cleos Frey",?,"Frey",758,"Ser","dead"
"Cletus Yronwood",?,"Yronwood",?,"Ser","dead"
"Cley Cerwyn","northmen","Cerwyn",784,"Lord","dead"
"Cleyton Caswell",?,"Caswell",?,"Ser","alive"
"Clifford Conklyn",?,"Conklyn",?,"Ser","alive"
"Clubfoot Karl",?,?,?,?,"dead"
"Clydas",?,?,740,?,"alive"
"Cohollo","dothraki",?,?,"Khal","dead"
"Coldhands",?,?,?,?,"alive"
"Coldmoat",?,?,?,?,"alive"
"Colemon",?,"Arryn",?,"Maester","alive"
"Colen of Greenpools",?,"Baratheon",?,"Ser","alive"
"Colin Florent",?,"Florent",?,"Ser","alive"
"Collio Quaynis","tyroshi",?,?,?,"alive"
"Colmar Frey",?,"Frey",788,?,"alive"
"Company of the Cat",?,?,?,?,"alive"
"Conn",?,?,?,?,"dead"
"Conwy",?,?,?,?,"alive"
"Coratt",?,?,?,?,"alive"
"Corliss Penny",?,"Baratheon",?,"Ser","alive"
"Corlys Velaryon","valyrian","Velaryon",553,"Queen","dead"
"Cortnay Penrose",?,"Penrose",?,"Castellan","dead"
"Cosgrove",?,"Butterwell",?,"Steward","alive"
"Cossomo","braavosi",?,?,?,"alive"
"Cotter Pyke","ironborn",?,?,"Commander","alive"
"Courtenay Greenhill",?,?,?,"Ser","alive"
"Craghas Drahar",?,?,?,?,"dead"
"Cragorn",?,"Greyjoy",?,?,"dead"
"Craster","freefolk",?,?,?,"dead"
"Crawn","mountainclans",?,?,?,"alive"
"Cregan Karstark","northmen","Karstark",749,?,"alive"
"Cregan Stark","northmen","Stark",?,"Hand of the King","alive"
"Creighton Longbough",?,?,740,"Ser","alive"
"Creighton Redfort",?,"Redfort",?,"Ser","alive"
"Cressen",?,?,719,"Maester","dead"
"Criston Cole",?,"Cole",582,"Hand of the King","dead"
"Crownlands",?,?,?,?,"alive"
"Cuger",?,?,?,?,"alive"
"Cutjack",?,?,?,?,"alive"
"Cynthea Frey",?,"Frey",790,?,"alive"
"Cyrenna Swann",?,"Swann",736,?,"dead"
"Daario Naharis","tyroshi",?,?,?,"alive"
"Dacey Mormont","northmen","Mormont",752,?,"dead"
"Dacks",?,"Redfort",?,?,"alive"
"Daegon Shepherd","ironborn","Shepherd",?,?,"alive"
"Daella Targaryen (daughter of Jaehaerys I)",?,"Targaryen",554,"Princess","alive"
"Daella Targaryen (daughter of Maekar I)","valyrian","Targaryen",699,"Princess","alive"
"Daemon Blackfyre",?,"Blackfyre",670,"Ser","dead"
"Daemon II Blackfyre",?,"Blackfyre",688,"King","alive"
"Daemon Sand","dornish","Allyrion",778,"Ser","alive"
"Daemon Targaryen","valyrian","Targaryen",581,"King","dead"
"Daena Targaryen","valyrian","Targaryen",645,?,"alive"
"Daenerys Targaryen","valyrian","Targaryen",784,"King","alive"
"Daenerys Targaryen (daughter of Aegon IV)",?,"Targaryen",672,"Princess","alive"
"Daeron II Targaryen",?,?,653,"King","dead"
"Daeron I Targaryen",?,?,643,"King","dead"
"Daeron Targaryen (son of Maekar I)",?,"Targaryen",690,"Prince","dead"
"Daeron Targaryen (son of Viserys I)",?,"Targaryen",615,"Prince","dead"
"Daeron Vaith",?,"Vaith",?,"Lord","alive"
"Daeryssa",?,?,?,"Princess","alive"
"Dafyn Vance",?,"Vance",?,"Ser","alive"
"Dagmer","ironborn","Greyjoy",?,"Captain","alive"
"Dagon Greyjoy",?,"Greyjoy",?,"Lord","alive"
"Dagon Ironmaker","ironborn","Ironmaker",?,?,"alive"
"Dagos Manwoody",?,"Manwoody",?,"King","alive"
"Dake",?,"Osgrey",?,?,"dead"
"Dake (Guard)",?,?,?,?,"alive"
"Dalbridge",?,?,757,?,"dead"
"Dale Drumm",?,"Drumm",?,?,"alive"
"Dale Seaworth",?,"Seaworth",?,?,"dead"
"Dalla","freefolk",?,?,?,"dead"
"Dalla (Dragonstone)",?,"Baratheon",?,?,"alive"
"Damion Lannister",?,"Lannister",?,"Castellan","alive"
"Damon Dance-for-Me",?,"Bolton",?,?,"alive"
"Damon Lannister (Lord)",?,?,?,?,"alive"
"Damon Lannister (son of Jason)",?,"Lannister",744,?,"alive"
"Damon Paege",?,"Paege",?,"Ser","alive"
"Damon Shett",?,"Shett",?,"Knight","alive"
"Damon Vypren",?,"Vypren",765,"Ser","alive"
"Dan","freefolk",?,?,?,"alive"
"Dance of the Dragons",?,?,?,?,"alive"
"Dancy",?,?,?,?,"alive"
"Danelle Lothston",?,"Lothston",?,"Lady","alive"
"Danny Flint",?,?,?,?,"alive"
"Danos Slynt",?,"Slynt",?,?,"alive"
"Danwell Frey",?,"Frey",752,"Ser","alive"
"Dareon",?,?,?,?,"dead"
"Darla Deddings",?,"Deddings",?,"Lady","alive"
"Darlessa Marbrand",?,"Marbrand",?,?,"alive"
"Daryn Hornwood",?,"Hornwood",?,?,"dead"
"Daughter of the Dusk","braavosi",?,?,?,"alive"
"Daven Lannister",?,"Lannister",773,"Ser","alive"
"Davos Seaworth","westeros","Seaworth",760,"Hand of the King","alive"
"Deana Hardyng",?,"Hardyng",?,?,"alive"
"Deepwood Motte",?,?,?,?,"alive"
"Del","freefolk",?,783,?,"dead"
"Delena Florent",?,"Florent",?,?,"alive"
"Della Frey",?,"Frey",796,?,"alive"
"Delonne Allyrion","dornish","Allyrion",?,"Lady","alive"
"Delp",?,"Tully",?,?,"dead"
"Denestan",?,?,?,"Maester","alive"
"Dennet",?,?,?,?,"alive"
"Dennis Plumm",?,"Plumm",?,"Ser","alive"
"Denyo Terys","braavosi",?,787,?,"alive"
"Denys Arryn",?,"Arryn",?,"Ser","dead"
"Denys Darklyn",?,"Darklyn",?,"Lord","alive"
"Denys Drumm","ironborn","Drumm",?,?,"alive"
"Denys Mallister",?,"Mallister",745,"Ser","alive"
"Denys Redwyne",?,"Redwyne",?,?,"alive"
"Denyse Hightower",?,"Hightower",?,?,"alive"
"Dermot",?,?,?,"Ser","alive"
"Desmond",?,"Stark",?,?,"dead"
"Desmond Grell",?,"Grell",737,"Ser","alive"
"Desmond Redwyne",?,"Redwyne",?,"Ser","alive"
"Devan Seaworth",?,"Seaworth",787,?,"alive"
"Devyn Sealskinner","freefolk",?,?,?,"alive"
"Deziel Dalt",?,"Dalt",?,"Knight","alive"
"Dhazzar","ghiscari",?,?,"Cupbearer","alive"
"Dick",?,?,?,?,"alive"
"Dick Crabb",?,"Crabb",?,?,"dead"
"Dick Follard",?,?,?,?,"dead"
"Dickon Frey",?,"Frey",794,?,"alive"
"Dickon Manwoody",?,"Manwoody",?,?,"alive"
"Dickon Tarly",?,"Tarly",787,?,"alive"
"Dirk",?,?,?,?,"dead"
"Dobber",?,?,?,?,"dead"
"Dolf",?,?,?,?,"alive"
"Domeric Bolton",?,"Bolton",779,?,"dead"
"Donal Noye",?,"Baratheon",744,?,"dead"
"Donel Greyjoy","ironborn","Greyjoy",?,?,"alive"
"Donella Hornwood",?,"Hornwood",749,"Lady","dead"
"Donnel Drumm","ironborn","Drumm",?,?,"alive"
"Donnel Haigh",?,"Haigh",755,"Ser","alive"
"Donnel Hill",?,?,?,?,"alive"
"Donnel Locke",?,"Locke",?,"Ser","dead"
"Donnel Waynwood",?,"Waynwood",777,"Knight","alive"
"Donnel of Duskendale",?,?,?,"Ser","alive"
"Donnis","northmen","Stark",?,?,"alive"
"Donnor Stark","northmen","Stark",?,"Lord","alive"
"Dontos Hollard",?,"Hollard",761,"Ser","dead"
"Donyse",?,?,?,"Septa","alive"
"Doran Martell","dornish","Nymeros",747,"Prince","alive"
"Dorcas",?,"Lannister",?,?,"alive"
"Dorea Sand","dornish","Martell",791,?,"alive"
"Doreah",?,"Targaryen",778,?,"dead"
"Dormund","freefolk",?,?,?,"dead"
"Dorne",?,?,?,?,"alive"
"Dornish Dilly",?,?,?,?,"dead"
"Dorren Stark",?,"Stark",?,"King in the North","alive"
"Doss","freefolk",?,?,?,"alive"
"Dothraki",?,?,?,?,"alive"
"Dragonstone",?,?,?,?,"alive"
"Draqaz","ghiscari",?,?,"Cupbearer","alive"
"Drennan","ironborn","Greyjoy",?,?,"dead"
"Drogo","dothraki",?,766,"Khal","dead"
"Drowned God",?,?,?,?,"alive"
"Dryn","freefolk",?,?,?,"alive"
"Dudley",?,?,?,"Ser","alive"
